  1 :RED                 :B
  2 :Red 0 :...n Bass    :P
  3 :Red 1 :...ss 004    :P
  4 :Red 2 :...lo 001    :P
  5 :Red 3 :...D Bass    :P
  6 :Red 4 :... Nobby    :P
  7 :Red 5 :...s Down    :P
  8 :Red 6 :...essive    :P
  9 :Red 7 : Taurus      :P
 10 :Red 8 : Rubber      :P
 11 :RED-2               :B
 12 :Red 9 :...iMogue    :P
 13 :Red 10 ...izzler    :P
 14 :Red 11 ...erheim    :P
 15 :Red 12 ...orLead    :P
 16 :Red 13  : Cars      :P
 17 :Red 14  : M-OBX1    :P
 18 :Red 15  : Lucky     :P
 19 :Red 16 ...ni 5th    :P
 20 :Red 17  :           :P
 21 :Red 18  :           :P
 22 :Red 19  :           :P
 23 :Red 20  :           :P
 24 :Red 21  :           :P
 25 :Red 22  :           :P
 26 :Red 23  :           :P
 27 :Red 24  :           :P
 28 :Red 25  :           :P
 29 :Red 26  :           :P
 30 :Red 27  :           :P
 31 :Red 28  :           :P
 32 :Red 29  :           :P
 33 :Red 30  :           :P
 34 :Red 31  :           :P
 35 :Red 32  :           :P
 36 :Red 33  :           :P
 37 :Red 34  :           :P
 38 :Red 35  :           :P
 39 :Red 36  :           :P
 40 :Red 37  :           :P
 41 :Red 38  :           :P
 42 :Red 39  :           :P
 43 :Red 40  :           :P
 44 :Red 41  :           :P
 45 :Red 42  :           :P
 46 :Red 43  :           :P
 47 :Red 44  :           :P
 48 :Red 45  :           :P
 49 :Red 46  :           :P
 50 :Red 47  :           :P
 51 :Red 48  :           :P
 52 :Red 49  :           :P
 53 :Red 50  :           :P
 54 :Red 51  :           :P
 55 :Red 52  :           :P
 56 :Red 53  :           :P
 57 :Red 54  :           :P
 58 :Red 55  :           :P
 59 :Red 56  :           :P
 60 :Red 57  :           :P
 61 :Red 58  :           :P
 62 :Red 59  :           :P
 63 :Red 60  :           :P
 64 :Red 61  :           :P
 65 :Red 62  :           :P
 66 :Red 63  :           :P
 67 :Red 64  :           :P
 68 :Red 65  :           :P
 69 :Red 66  :           :P
 70 :Red 67  :           :P
 71 :Red 68  :           :P
 72 :Red 69  :           :P
 73 :Red 70  :           :P
 74 :Red 71  :           :P
 75 :Red 72  :           :P
 76 :Red 73  :           :P
 77 :Red 74  :           :P
 78 :Red 75  :           :P
 79 :Red 76  :           :P
 80 :Red 77  :           :P
 81 :Red 78  :           :P
 82 :Red 79  :           :P
 83 :Red 80  :           :P
 84 :Red 81  :           :P
 85 :Red 82  :           :P
 86 :Red 83  :           :P
 87 :Red 84  :           :P
 88 :Red 85  :           :P
 89 :Red 86  :           :P
 90 :Red 87  :           :P
 91 :Red 88  :           :P
 92 :Red 89  :           :P
 93 :Red 90  :           :P
 94 :Red 91  :           :P
 95 :Red 92  :           :P
 96 :Red 93  :           :P
 97 :Red 94  :           :P
 98 :Red 95  :           :P
 99 :Red 96  :           :P
100 :Red 97  :           :P
101 :Red 98  :           :P
102 :Red 99  :           :P
103 :Red 100  :          :P
104 :Red 101  :          :P
105 :Red 102  :          :P
106 :Red 103  :          :P
107 :Red 104  :          :P
108 :Red 105  :          :P
109 :Red 106  :          :P
110 :Red 107  :          :P
111 :Red 108  :          :P
112 :Red 109  :          :P
113 :Red 110  :          :P
114 :Red 111  :          :P
115 :Red 112  :          :P
116 :Red 113  :          :P
117 :Red 114  :          :P
118 :Red 115  :          :P
119 :Red 116  :          :P
120 :Red 117  :          :P
121 :Red 118  :          :P
122 :Red 119  :          :P
123 :Red 120  :          :P
124 :Red 121  :          :P
125 :Red 122  :          :P
126 :Red 123  :          :P
127 :Red 124  :          :P
128 :Red 125  :          :P
129 :Red 126  :          :P
130 :Red 127  :          :P
131 :GREEN               :B
132 :Preset NR: 0        :P
133 :Preset NR: 1        :P
134 :Preset NR: 2        :P
135 :Preset NR: 3        :P
136 :Preset NR: 4        :P
137 :Preset NR: 5        :P
138 :Preset NR: 6        :P
139 :Preset NR: 7        :P
140 :Preset NR: 8        :P
141 :Preset NR: 9        :P
142 :Preset NR: 10       :P
143 :Preset NR: 11       :P
144 :Preset NR: 12       :P
145 :Preset NR: 13       :P
146 :Preset NR: 14       :P
147 :Preset NR: 15       :P
148 :Preset NR: 16       :P
149 :Preset NR: 17       :P
150 :Preset NR: 18       :P
151 :Preset NR: 19       :P
152 :Preset NR: 20       :P
153 :Preset NR: 21       :P
154 :Preset NR: 22       :P
155 :Preset NR: 23       :P
156 :Preset NR: 24       :P
157 :Preset NR: 25       :P
158 :Preset NR: 26       :P
159 :Preset NR: 27       :P
160 :Preset NR: 28       :P
161 :Preset NR: 29       :P
162 :Preset NR: 30       :P
163 :Preset NR: 31       :P
164 :Preset NR: 32       :P
165 :Preset NR: 33       :P
166 :Preset NR: 34       :P
167 :Preset NR: 35       :P
168 :Preset NR: 36       :P
169 :Preset NR: 37       :P
170 :Preset NR: 38       :P
171 :Preset NR: 39       :P
172 :Preset NR: 40       :P
173 :Preset NR: 41       :P
174 :Preset NR: 42       :P
175 :Preset NR: 43       :P
176 :Preset NR: 44       :P
